stimulus,stimulus.1,stimulus.2,stimulus.3
jax,kaah,yeij,xiet
ceb,kaaj,yeik,xiev
cet,kaeb,yeil,xiew
sur,kaec,yeim,xiex
qug,kaed,yeob,xiey
vus,kaef,yeoc,xiin
fiq,kaeg,yeod,xiip
yey,kaeh,yeof,xiiq
lah,kaej,yeog,xiir
baz,kaek,yeoh,xiis
weh,kael,yeoj,xiit
lav,kaem,yeok,xiiv
loy,kaib,yeol,xiiw
keh,kaic,yeom,xiix
joj,kaid,yeub,xiiy
qif,kaig,yeuc,xion
bew,kaih,yeud,xiop
yop,kaij,yeuf,xioq
qum,kaik,yeug,xior
liy,kaim,yeuh,xios
bor,kaob,yeuj,xiot
doy,kaoc,yeul,xiov
yug,kaod,yeum,xiow
coc,kaof,yiab,xiox
jem,kaog,yiac,xioy
kaj,kaoh,yiad,xiun
wuc,kaoj,yiaf,xiup
jum,kaok,yiag,xiuq
gah,kaol,yiah,xiur
qiz,kaom,yiaj,xius
fev,kaub,yiak,xiut
xuw,kauc,yial,xiuv
xew,kaud,yiam,xiuw
cuz,kauf,yieb,xiux
niy,kaug,yiec,xiuy
tum,kauh,yied,xoan
qoz,kauj,yief,xoap
gac,kauk,yieg,xoaq
vig,kaul,yieh,xoar
xom,keab,yiej,xoas
qeh,keac,yiek,xoat
sar,kead,yiel,xoav
nez,keaf,yiem,xoaw
paz,keag,yiib,xoax
jox,keah,yiic,xoay
xak,keaj,yiid,xoen
muj,keak,yiif,xoep
yok,keal,yiig,xoeq
vom,keam,yiih,xoer
laj,keeb,yiij,xoes
gew,keec,yiik,xoet
cik,keed,yiil,xoev
fec,keeg,yiim,xoew
tid,keeh,yiob,xoex
xip,keej,yioc,xoey
miw,keem,yiod,xoin
xob,keib,yiof,xoip
riq,keic,yiog,xoiq
xul,keid,yioh,xoir
kag,keif,yioj,xois
cit,keig,yiok,xoit
gim,keih,yiol,xoiv
xod,keij,yiom,xoiw
doz,keik,yiub,xoix
yuy,keob,yiuc,xoiy
jaf,keoc,yiud,xoon
fuh,keod,yiuf,xoop
toz,keof,yiug,xooq
kez,keog,yiuh,xoor
fol,keoh,yiuj,xoos
gov,keoj,yiuk,xoot
cej,keok,yiul,xoov
waq,keol,yium,xoow
qik,keom,yoab,xoox
vay,keub,yoac,xooy
sor,keuc,yoad,xoun
ceh,keud,yoaf,xoup
maz,keuf,yoag,xouq
lur,keug,yoah,xour
