block;trial_num;relation_1;relation_2;q_stim_1_id;q_stim_2_id;q_rel;q_stim_3_id;q_stim_4_id;correct_response;stim_1_id;relation_1_verb;relation_1_place;relation_1_time;stim_2_id;relation_2_verb;relation_2_place;relation_2_time;switch_1;switch_2_stim_1_id;switch_2_verb;switch_2_stim_2_id;switch_2_and;switch_2_if;q_rel_place;q_rel_time;meta_relation_1;meta_stim_1_id;meta_relation_2;meta_stim_2_id;stim_3_id;stim_4_id;stim_5_id;relation_3;stim_6_id;stim_7_id;relation_4;stim_8_id;q_word
1;1;is the same as;is the same as;1;3;the same as;;;yes;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
1;2;is the same as;is the same as;3;1;opposite to;;;no;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
1;3;is the same as;is opposite to;1;3;the same as;;;no;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
1;4;is the same as;is opposite to;3;1;opposite to;;;yes;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
1;5;is opposite to;is opposite to;1;3;the same as;;;yes;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
1;6;is opposite to;is opposite to;3;1;opposite to;;;no;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
1;7;is the same as;is opposite to;1;4;the same as;;;no;;;;;;;;;;;;;;;;;;;;;2;3;3;is the same as;4;;;;Is
1;8;is the same as;is opposite to;4;1;opposite to;;;yes;;;;;;;;;;;;;;;;;;;;;2;3;3;is the same as;4;;;;Is
1;9;is opposite to;is the same as;1;4;the same as;;;yes;;;;;;;;;;;;;;;;;;;;;2;3;3;is opposite to;4;;;;Is
1;10;is opposite to;is the same as;4;1;opposite to;;;no;;;;;;;;;;;;;;;;;;;;;2;3;3;is opposite to;4;;;;Is
1;11;is opposite to;is opposite to;1;4;the same as;;;yes;;;;;;;;;;;;;;;;;;;;;2;3;3;is opposite to;4;;;;Is
1;12;is opposite to;is opposite to;4;1;opposite to;;;no;;;;;;;;;;;;;;;;;;;;;2;3;3;is opposite to;4;;;;Is
1;13;is opposite to;is the same as;1;5;the same as;;;yes;;;;;;;;;;;;;;;;;;;;;2;3;3;is opposite to;4;4;is the same as;5;Is
1;14;is opposite to;is the same as;5;1;opposite to;;;no;;;;;;;;;;;;;;;;;;;;;2;3;3;is opposite to;4;4;is the same as;5;Is
1;15;is the same as;is opposite to;1;5;the same as;;;no;;;;;;;;;;;;;;;;;;;;;2;3;3;is the same as;4;4;is opposite to;5;Is
1;16;is the same as;is opposite to;5;1;opposite to;;;yes;;;;;;;;;;;;;;;;;;;;;2;3;3;is the same as;4;4;is opposite to;5;Is
2;17;is the same as;is the same as;3;1;the same as;;;yes;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
2;18;is the same as;is the same as;1;3;different to;;;no;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
2;19;is the same as;is different to;3;1;the same as;;;yes;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
2;20;is the same as;is different to;1;3;different to;;;yes;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
2;21;is different to;is the same as;3;1;the same as;;;no;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
2;22;is different to;is the same as;1;3;different to;;;yes;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
2;23;is the same as;is different to;4;1;the same as;;;no;;;;;;;;;;;;;;;;;;;;;2;3;3;is the same as;4;;;;Is
2;24;is the same as;is different to;1;4;different to;;;yes;;;;;;;;;;;;;;;;;;;;;2;3;3;is the same as;4;;;;Is
2;25;is the same as;is the same as;1;4;the same as;;;no;;;;;;;;;;;;;;;;;;;;;2;3;3;is different to;4;;;;Is
2;26;is the same as;is the same as;4;1;different to;;;yes;;;;;;;;;;;;;;;;;;;;;2;3;3;is different to;4;;;;Is
2;27;is the same as;is the same as;5;1;the same as;;;yes;;;;;;;;;;;;;;;;;;;;;2;3;3;is different to;4;4;is the same as;5;Is
