block;trial_num;relation_1;relation_2;q_stim_1_id;q_stim_2_id;q_rel;q_stim_3_id;q_stim_4_id;correct_response;stim_1_id;relation_1_verb;relation_1_place;relation_1_time;stim_2_id;relation_2_verb;relation_2_place;relation_2_time;switch_1;switch_2_stim_1_id;switch_2_verb;switch_2_stim_2_id;switch_2_and;switch_2_if;q_rel_place;q_rel_time;meta_relation_1;meta_stim_1_id;meta_relation_2;meta_stim_2_id;stim_3_id;stim_4_id;stim_5_id;relation_3;stim_6_id;stim_7_id;relation_4;stim_8_id;q_word
1;1;is hetzelfde als;is hetzelfde als;1;3;hetzelfde als;;;yes;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
1;2;is hetzelfde als;is hetzelfde als;3;1;het tegenovergestelde van;;;no;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
1;3;is hetzelfde als;is het tegenovergestelde van;1;3;hetzelfde als;;;no;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
1;4;is hetzelfde als;is het tegenovergestelde van;3;1;het tegenovergestelde van;;;yes;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
1;5;is het tegenovergestelde van;is het tegenovergestelde van;1;3;hetzelfde als;;;yes;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
1;6;is het tegenovergestelde van;is het tegenovergestelde van;3;1;het tegenovergestelde van;;;no;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
1;7;is hetzelfde als;is het tegenovergestelde van;1;4;hetzelfde als;;;no;;;;;;;;;;;;;;;;;;;;;2;3;3;is hetzelfde als;4;;;;Is
1;8;is hetzelfde als;is het tegenovergestelde van;4;1;het tegenovergestelde van;;;yes;;;;;;;;;;;;;;;;;;;;;2;3;3;is hetzelfde als;4;;;;Is
1;9;is het tegenovergestelde van;is hetzelfde als;1;4;hetzelfde als;;;yes;;;;;;;;;;;;;;;;;;;;;2;3;3;is het tegenovergestelde van;4;;;;Is
1;10;is het tegenovergestelde van;is hetzelfde als;4;1;het tegenovergestelde van;;;no;;;;;;;;;;;;;;;;;;;;;2;3;3;is het tegenovergestelde van;4;;;;Is
1;11;is het tegenovergestelde van;is het tegenovergestelde van;1;4;hetzelfde als;;;yes;;;;;;;;;;;;;;;;;;;;;2;3;3;is het tegenovergestelde van;4;;;;Is
1;12;is het tegenovergestelde van;is het tegenovergestelde van;4;1;het tegenovergestelde van;;;no;;;;;;;;;;;;;;;;;;;;;2;3;3;is het tegenovergestelde van;4;;;;Is
1;13;is het tegenovergestelde van;is hetzelfde als;1;5;hetzelfde als;;;yes;;;;;;;;;;;;;;;;;;;;;2;3;3;is het tegenovergestelde van;4;4;is hetzelfde als;5;Is
1;14;is het tegenovergestelde van;is hetzelfde als;5;1;het tegenovergestelde van;;;no;;;;;;;;;;;;;;;;;;;;;2;3;3;is het tegenovergestelde van;4;4;is hetzelfde als;5;Is
1;15;is hetzelfde als;is het tegenovergestelde van;1;5;hetzelfde als;;;no;;;;;;;;;;;;;;;;;;;;;2;3;3;is hetzelfde als;4;4;is het tegenovergestelde van;5;Is
1;16;is hetzelfde als;is het tegenovergestelde van;5;1;het tegenovergestelde van;;;yes;;;;;;;;;;;;;;;;;;;;;2;3;3;is hetzelfde als;4;4;is het tegenovergestelde van;5;Is
2;17;is hetzelfde als;is hetzelfde als;3;1;hetzelfde als;;;yes;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
