block;trial_num;relation_1;relation_2;q1_stim_1_id;q1_stim_2_id;q1_rel;q1_stim_3_id;q1_stim_4_id;q2_stim_1_id;q2_stim_2_id;q2_rel;q2_stim_3_id;q2_stim_4_id;q3_stim_1_id;q3_stim_2_id;q3_rel;q3_stim_3_id;q3_stim_4_id;q4_stim_1_id;q4_stim_2_id;q4_rel;q4_stim_3_id;q4_stim_4_id;correct_response;stim_1_id;relation_1_verb;relation_1_place;relation_1_time;stim_2_id;relation_2_verb;relation_2_place;relation_2_time;switch_1;switch_2_stim_1_id;switch_2_verb;switch_2_stim_2_id;switch_2_and;switch_2_if;q1_rel_place;q1_rel_time;q2_rel_place;q2_rel_time;q3_rel_place;q3_rel_time;q4_rel_place;q4_rel_time;meta_relation_1;meta_stim_1_id;meta_relation_2;meta_stim_2_id;stim_3_id;stim_4_id;stim_5_id;relation_3;stim_6_id;stim_7_id;relation_4;stim_8_id;q_word
1;1;is the same as;is the same as;1;3;is the same as;;;1;2;is opposite to;;;1;3;is opposite to;;;2;3;is opposite to;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
1;2;is the same as;is the same as;3;1;is the same as;;;2;1;is opposite to;;;3;1;is opposite to;;;3;2;is opposite to;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
1;3;is the same as;is opposite to;1;3;is opposite to;;;1;3;is the same as;;;1;2;is opposite to;;;2;3;is the same as;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
1;4;is the same as;is opposite to;3;1;is opposite to;;;3;1;is the same as;;;2;1;is opposite to;;;3;2;is the same as;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
1;5;is opposite to;is opposite to;1;3;is the same as;;;1;3;is opposite to;;;1;2;is the same as;;;2;3;is the same as;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
1;6;is opposite to;is opposite to;3;1;is the same as;;;3;1;is opposite to;;;2;1;is the same as;;;3;2;is the same as;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
1;7;is the same as;is opposite to;1;3;is opposite to;;;1;4;is the same as;;;3;4;is opposite to;;;2;4;is the same as;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;is the same as;4;;;;Is
1;8;is the same as;is opposite to;4;1;is opposite to;;;4;3;is opposite to;;;3;1;is the same as;;;4;2;is the same as;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;is the same as;4;;;;Is
1;9;is opposite to;is the same as;1;4;is the same as;;;3;4;is the same as;;;1;3;is the same as;;;2;4;is the same as;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;is opposite to;4;;;;Is
1;10;is opposite to;is the same as;4;2;is opposite to;;;4;1;is opposite to;;;3;1;is the same as;;;4;2;is the same as;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;is opposite to;4;;;;Is
1;11;is opposite to;is opposite to;1;3;is the same as;;;1;4;is the same as;;;3;4;is the same as;;;2;4;is opposite to;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;is opposite to;4;;;;Is
1;12;is opposite to;is opposite to;4;1;is opposite to;;;4;3;is the same as;;;3;1;is opposite to;;;4;2;is opposite to;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;is opposite to;4;;;;Is
1;13;is opposite to;is the same as;1;5;is the same as;;;2;4;is the same as;;;1;4;is opposite to;;;2;5;is the same as;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;is opposite to;4;4;is the same as;5;Is
1;14;is opposite to;is the same as;4;1;is the same as;;;5;1;is opposite to;;;4;2;is the same as;;;5;2;is the same as;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;is opposite to;4;4;is the same as;5;Is
1;15;is the same as;is opposite to;1;5;is the same as;;;2;4;is the same as;;;1;4;is the same as;;;2;5;is opposite to;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;is the same as;4;4;is opposite to;5;Is
1;16;is the same as;is opposite to;5;2;is the same as;;;5;1;is opposite to;;;4;1;is the same as;;;4;2;is the same as;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;is the same as;4;4;is opposite to;5;Is
2;17;is the same as;is the same as;3;1;is the same as;;;3;1;is different to;;;2;1;is different to;;;3;2;is different to;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
2;18;is the same as;is the same as;1;3;is the same as;;;1;3;is different to;;;1;2;is different to;;;2;3;is different to;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
2;19;is the same as;is different to;3;1;is different to;;;3;1;is the same as;;;2;1;is different to;;;3;2;is the same as;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
2;20;is the same as;is different to;1;3;is different to;;;1;3;is the same as;;;1;2;is different to;;;2;3;is the same as;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
2;21;is different to;is the same as;3;1;is different to;;;3;1;is the same as;;;2;1;is the same as;;;3;2;is different to;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
2;22;is different to;is the same as;1;3;is different to;;;1;3;is the same as;;;1;2;is the same as;;;2;3;is different to;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
2;23;is the same as;is different to;3;1;is different to;;;4;1;is the same as;;;3;2;is the same as;;;4;2;is the same as;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;is the same as;4;;;;Is
2;24;is the same as;is different to;1;4;is different to;;;1;4;is the same as;;;1;3;is the same as;;;2;4;is the same as;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;is the same as;4;;;;Is
2;25;is the same as;is the same as;2;4;is different to;;;1;4;is the same as;;;1;3;is different to;;;2;3;is different to;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;is different to;4;;;;Is
2;26;is the same as;is the same as;4;1;is different to;;;4;2;is the same as;;;3;1;is different to;;;3;2;is different to;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;is different to;4;;;;Is
2;27;is the same as;is the same as;5;2;is different to;;;5;1;is the same as;;;4;1;is the same as;;;3;1;is different to;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;is different to;4;4;is the same as;5;Is
2;28;is the same as;is the same as;1;5;is different to;;;3;5;is the same as;;;1;4;is the same as;;;2;5;is the same as;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;is different to;4;4;is the same as;5;Is
2;29;is the same as;is different to;4;1;is different to;;;5;1;is the same as;;;5;2;is the same as;;;5;3;is different to;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;is the same as;4;4;is the same as;5;Is
2;30;is the same as;is different to;1;5;is different to;;;1;4;is the same as;;;2;5;is the same as;;;2;4;is the same as;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;is the same as;4;4;is the same as;5;Is
2;31;is the same as;is different to;5;1;is different to;;;4;1;is the same as;;;5;2;is the same as;;;5;4;is different to;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;is the same as;4;4;is the same as;5;Is
2;32;is the same as;is different to;1;4;is different to;;;1;5;is the same as;;;2;5;is the same as;;;2;4;is the same as;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;is the same as;4;4;is the same as;5;Is
3;33;is more than;is more than;1;3;is more than;;;1;3;is less than;;;1;2;is less than;;;3;2;is more than;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
3;34;is more than;is more than;3;1;is less than;;;3;1;is more than;;;2;1;is more than;;;2;3;is less than;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
3;35;is more than;is less than;1;3;is more than;;;1;3;is less than;;;1;2;is less than;;;3;2;is more than;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;;;;;;Is
3;36;is more than;is less than;3;1;is less than;;;3;1;is more than;;;2;1;is more than;;;2;3;is less than;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;;;;;;Is
3;37;is less than;is less than;1;3;is less than;;;1;3;is more than;;;1;2;is more than;;;3;2;is less than;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
3;38;is less than;is less than;3;1;is more than;;;3;1;is less than;;;2;1;is less than;;;2;3;is more than;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
3;39;is more than;is less than;1;4;is more than;;;1;3;is less than;;;2;4;is less than;;;3;2;is more than;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;3;is more than;4;;;;Is
3;40;is more than;is less than;3;1;is less than;;;4;1;is more than;;;4;2;is more than;;;2;3;is less than;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;3;is more than;4;;;;Is
3;41;is less than;is more than;1;4;is less than;;;1;3;is more than;;;2;4;is more than;;;4;3;is less than;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;4;is more than;3;;;;Is
3;42;is less than;is more than;4;2;is more than;;;4;1;is less than;;;3;1;is less than;;;3;4;is more than;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;4;is more than;3;;;;Is
3;43;is less than;is less than;1;3;is less than;;;1;4;is more than;;;2;4;is more than;;;3;2;is less than;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;is less than;4;;;;Is
3;44;is less than;is less than;4;1;is more than;;;3;1;is less than;;;4;2;is less than;;;2;3;is more than;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;is less than;4;;;;Is
3;45;is less than;is more than;1;5;is less than;;;1;4;is more than;;;2;5;is more than;;;4;2;is less than;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;3;is less than;4;5;is more than;4;Is
3;46;is less than;is more than;4;1;is more than;;;5;1;is less than;;;5;2;is less than;;;2;4;is more than;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;3;is less than;4;5;is more than;4;Is
3;47;is more than;is less than;1;5;is more than;;;1;4;is less than;;;2;5;is less than;;;5;3;is more than;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;3;is more than;4;5;is less than;4;Is
3;48;is more than;is less than;5;2;is less than;;;4;1;is more than;;;5;1;is more than;;;3;5;is less than;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;3;is more than;4;5;is less than;4;Is
4;49;is before;is before;3;1;is after;;;3;1;is before;;;2;1;is before;;;2;3;is after;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
4;50;is before;is before;1;3;is before;;;1;3;is after;;;1;2;is after;;;3;2;is before;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
4;51;is after;is after;3;1;is before;;;3;1;is after;;;2;1;is after;;;2;3;is before;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
4;52;is after;is after;1;3;is after;;;1;3;is before;;;1;2;is before;;;3;2;is after;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;Is
4;53;is after;is before;3;1;is before;;;3;1;is after;;;2;1;is after;;;2;3;is before;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;;;;;;Is
4;54;is after;is before;1;3;is after;;;1;3;is before;;;2;1;is before;;;3;2;is after;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;;;;;;Is
4;55;is before;is after;4;2;is after;;;4;1;is before;;;3;1;is before;;;2;3;is after;;;q1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;3;is before;4;;;;Is
