block,relation_1,meta_relation_1,relation_2,meta_stim_1_id,meta_relation_2,meta_stim_2_id,q_stim_1_id,q_rel,q_stim_2_id,correct_response,trial_num
8,+,is the same as,+,1,is more than,3,2,more than,4,no,113
8,+,is the same as,+,1,is more than,3,4,less than,2,no,114
8,+,is the same as,+,1,is less than,3,2,more than,4,yes,115
8,+,is the same as,+,1,is less than,3,4,less than,2,yes,116
8,-,is the same as,-,1,is more than,3,2,less than,4,no,117
8,-,is the same as,-,1,is more than,3,4,more than,2,no,118
8,-,is the same as,-,1,is less than,3,2,less than,4,yes,119
101,,THIS is an attention CHECK,,,THIS is an attention CHECK,,,Please respond “no” to this question,,no,XXX
8,-,is the same as,-,1,is less than,3,4,more than,2,yes,120
9,+,is more than,+,1,is the same as,3,2,less than,4,no,121
9,+,is more than,+,1,is the same as,3,4,more than,2,no,122
9,-,is more than,-,1,is the same as,3,2,less than,4,yes,123
9,-,is more than,-,1,is the same as,3,4,more than,2,yes,124
9,+,is less than,+,2,is the same as,4,1,more than,3,no,125
9,+,is less than,+,2,is the same as,4,3,less than,1,no,126
9,-,is less than,-,2,is the same as,4,1,more than,3,no,127
9,-,is less than,-,2,is the same as,4,3,less than,1,no,128
