block,relation_1,stim_3_id,relation_2,stim_4_id,stim_5_id,relation_3,stim_6_id,stim_7_id,relation_4,stim_8_id,q_stim_1_id,q_rel,q_stim_2_id,correct_response,trial_num,q_word
1,is the same as,2,is the same as,3,,,,,,,1,the same as,3,yes,1,Is
1,is the same as,2,is the same as,3,,,,,,,3,opposite to,1,no,2,Is
1,is the same as,2,is opposite to,3,,,,,,,1,the same as,3,no,3,Is
1,is the same as,2,is opposite to,3,,,,,,,3,opposite to,1,yes,4,Is
1,is opposite to,2,is opposite to,3,,,,,,,1,the same as,3,yes,5,Is
1,is opposite to,2,is opposite to,3,,,,,,,3,opposite to,1,no,6,Is
1,is the same as,2,is opposite to,3,3,is the same as,4,,,,1,the same as,4,no,7,Is
1,is the same as,2,is opposite to,3,3,is the same as,4,,,,4,opposite to,1,yes,8,Is
1,is opposite to,2,is the same as,3,3,is opposite to,4,,,,1,the same as,4,yes,9,Is
1,is opposite to,2,is the same as,3,3,is opposite to,4,,,,4,opposite to,1,no,10,Is
1,is opposite to,2,is opposite to,3,3,is opposite to,4,,,,1,the same as,4,no,11,Is
1,is opposite to,2,is opposite to,3,3,is opposite to,4,,,,4,opposite to,1,yes,12,Is
1,is opposite to,2,is the same as,3,3,is opposite to,4,4,is the same as,5,1,the same as,5,yes,13,Is
1,is opposite to,2,is the same as,3,3,is opposite to,4,4,is the same as,5,5,opposite to,1,no,14,Is
1,is the same as,2,is opposite to,3,3,is the same as,4,4,is opposite to,5,1,the same as,5,yes,15,Is
1,is the same as,2,is opposite to,3,3,is the same as,4,4,is opposite to,5,5,opposite to,1,no,16,Is
2,is the same as,2,is the same as,3,,,,,,,3,the same as,1,yes,17,Is
2,is the same as,2,is the same as,3,,,,,,,1,different to,3,no,18,Is
2,is the same as,2,is different to,3,,,,,,,3,the same as,1,yes,19,Is
2,is the same as,2,is different to,3,,,,,,,1,different to,3,yes,20,Is
2,is different to,2,is the same as,3,,,,,,,3,the same as,1,no,21,Is
2,is different to,2,is the same as,3,,,,,,,1,different to,3,yes,22,Is
2,is the same as,2,is different to,3,3,is the same as,4,,,,4,the same as,1,no,23,Is
