block,difficulty,statement_1,statement_2,statement_3,statement_4,true_statements,false_statements
2,1,1 is the same as 2,2 is the same as 3,,,"3 is the same as 2, 2 is the same as 1, 1 is the same as 3, 3 is the same as 1","2 is different to 1, 3 is different to 2, 1 the different to 3, 3 is different to 1"
2,1,1 is the same as 2,2 is different to 3,,,"2 is the same as 1, 3 is different to 2, 1 is different to 3, 3 is different to 1","2 is different to 1, 3 is the same as 2, 1 is the same as 3, 3 is the same as 1"
2,1,1 is different to 2,2 is the same as 3,,,"2 is different to 1, 3 is the same as 2, 1 is different to 3, 3 is different to 1","2 is the same as 1, 3 is different to 2, 1 is the same as 3, 3 is the same as 1"
2,2,1 is the same as 2,2 is different to 3,3 is the same as 4,,"2 is the same as 1, 3 is different to 2, 4 is the same as 3, 1 is different to 3, 3 is different to 1, 2 is different to 4, 4 is different to 2, 1 is different to 4, 4 is different to 1","2 is different to 1, 3 is the same as 2, 4 is different to 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is the same as 4, 4 is the same as 1"
2,2,1 is the same as 2,2 is the same as 3,3 is different to 4,,"2 is the same as 1, 3 is the same as 2, 4 is different to 3, 1 is the same as 3, 3 is the same as 1, 2 is different to 4, 4 is different to 3, 1 is different to 4, 4 is different to 1","2 is different to 1, 3 is different to 2, 4 is the same as 3, 1 is different to 3, 3 is different to 1, 2 is the same as 4, 4 is the same as 3, 1 is the same as 4, 4 is the same as 1"
2,3,1 is the same as 2,2 is the same as 3,3 is different to 4,4 is the same as 5,"2 is the same as 1, 3 is the same as 2, 4 is different to 3, 5 is the same as 4, 1 is the same as 3, 3 is the same as 1, 2 is different to 4, 4 is different to 2, 3 is different to 5, 5 is different to 3, 1 is different to 4, 4 is different to 1, 2 is different to 5, 5 is different to 2, 1 is different to 5, 5 is different to 1","2 is different to 1, 3 is different to 2, 4 is the same as 3, 5 is different to 4, 1 is different to 3, 3 is different to 1, 2 is the same as 4, 4 is the same as 2, 3 is the same as 5, 5 is the same as 3, 1 is the same as 4, 4 is the same as 1, 2 is the same as 5, 5 is the same as 2, 1 is the same as 5, 5 is the same as 1"
2,3,1 is the same as 2,2 is different to 3,3 is the same as 4,4 is the same as 5,"2 is the same as 1, 3 is different to 2, 4 is the same as 3, 5 is the same as 4, 1 is different to 3, 3 is different to 1, 2 is different to 4, 4 is different to 2, 3 is the same as 5, 5 is the same as 3, 1 is different to 4, 4 is different to 1, 2 is different to 5, 5 is different to 2, 1 is different to 5, 5 is different to 1","2 is different to 1, 3 is the same as 2, 4 is different to 3, 5 is different to 4, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 3 is different to 5, 5 is different to 3, 1 is the same as 4, 4 is the same as 1, 2 is the same as 5, 5 is the same as 2, 1 is the same as 5, 5 is the same as 1"
3,1,1 is more than 2,2 is more than 3,,,"2 is less than 1, 3 is less than 2, 1 is more than 3, 3 is less than 1","2 is more than 1, 3 is more than 2, 1 is less than 3, 3 is more than 1"
3,1,1 is more than 2,3 is more than 2,,,"2 is less than 1, 2 is less than 3","2 is more than 1, 2 is more than 3"
3,1,1 is more than 2,3 is less than 2,,,"2 is less than 1, 2 is more than 3","2 is more than 1, 2 is less than 3"
3,1,1 is more than 2,2 is less than 3,,,"2 is less than 1, 3 is more than 2","2 is more than 1, 3 is less than 2"
3,1,1 is less than 2,2 is less than 3,,,"2 is more than 1, 3 is more than 2, 3 is more than 1, 1 is less than 3","2 is less than 1, 3 is less than 2, 3 is less than 1, 1 is more than 3"
3,2,1 is more than 2,3 is less than 2,3 is more than 4,,"2 is less than 1, 2 is more than 3, 4 is less than 3, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 1 is more than 4, 4 is less than 1","2 is more than 1, 2 is less than 3, 4 is more than 3, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 1 is less than 4, 4 is more than 1"
3,2,1 is less than 2,3 is more than 2,4 is more than 3,,"2 is more than 1, 2 is less than 3, 3 is less than 4, 3 is more than 1, 1 is less than 3, 2 is less than 4, 4 is more than 2, 1 is less than 4, 4 is more than 1","2 is less than 1, 2 is more than 3, 3 is more than 4, 3 is less than 1, 1 is more than 3, 2 is more than 4, 4 is less than 2, 1 is more than 4, 4 is less than 1"
3,2,1 is less than 2,2 is less than 3,3 is less than 4,,"2 is more than 1, 3 is more than 2, 4 is more than 3, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 1 is less than 4, 4 is more than 1","2 is less than 1, 3 is less than 2, 4 is less than 3, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 1 is more than 4, 4 is less than 1"
3,3,1 is less than 2,3 is more than 2,3 is less than 4,5 is more than 4,"2 is more than 1, 2 is less than 3, 4 is more than 3, 4 is less than 5, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 3 is less than 5, 5 is more than 3, 1 is less than 4, 4 is more than 1, 2 is less than 5, 5 is more than 2, 1 is less than 5, 5 is more than 1","2 is less than 1, 2 is more than 3, 4 is less than 3, 4 is more than 5, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 3 is more than 5, 5 is less than 3, 1 is more than 4, 4 is less than 1, 2 is more than 5, 5 is less than 2, 1 is more than 5, 5 is less than 1"
3,3,1 is more than 2,3 is less than 2,3 is more than 4,5 is less than 4,"2 is less than 1, 2 is more than 3, 4 is less than 3, 4 is more than 5, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 3 is more than 5, 5 is less than 3, 1 is more than 4, 4 is less than 1, 2 is more than 5, 5 is less than 2, 1 is more than 5, 5 is less than 1","2 is more than 1, 2 is less than 3, 4 is more than 3, 4 is less than 5, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 3 is less than 5, 5 is more than 3, 1 is less than 4, 4 is more than 1, 2 is less than 5, 5 is more than 2, 1 is less than 5, 5 is more than 1"
8,1,1 plus 2,is equal to,3 plus 4,1 is more than 3,"3 is less than 1, 4 is more than 2, 2 is less than 4","2 is the same as 4, 2 is more than 4, 4 is less than 2, 1 is less than 3, 3 is more than 1"
8,1,1 plus 2,is equal to,3 plus 4,1 is less than 3,"3 is more than 1, 4 is less than 2, 2 is more than 4","2 is the same as 4, 2 is less than 4, 4 is more than 2, 1 is more than 3, 3 is less than 1"
8,1,1 minus 2,is equal to,3 minus 4,1 is more than 3,"3 is less than 1, 2 is more than 4, 4 is less than 2","3 is more than 1, 1 is less than 3, 2 is less than 4, 4 is more than 2, 2 is the same as 4"
8,1,1 minus 2,is equal to,3 minus 4,1 is less than 3,"3 is more than 1, 2 is less than 4, 4 is more than 2","3 is less than 1, 1 is more than 3, 2 is more than 4, 4 is less than 2, 2 is the same as 4"
8,2,1 plus 2,is more than,3 plus 4,1 is the same as 3,"2 is more than 4, 4 is less than 2, 3 is the same as 1","2 is less than 4, 4 is more than 2, 2 is the same as 4, 4 is the same as 2, 3 is more than 1, 3 is less than 1"
8,2,1 minus 2,is more than,3 minus 4,1 is the same as 3,"2 is less than 4, 4 is more than 2, 3 is the same as 1","2 is more than 4, 4 is less than 2, 2 is the same as 4, 4 is the same as 2, 3 is more than 1, 3 is less than 1"
8,2,1 plus 2,is less than,3 plus 4,2 is the same as 4,"1 is less than 3, 3 is more than 1, 4 is the same as 2","1 is more than 3, 3 is less than 1, 1 is the same as 3, 3 is the same as 1, 4 is more than 2, 2 is less than 4, 4 is less than 2, 2 is more than 4"
8,2,1 minus 2,is less than,3 minus 4,2 is the same as 4,"1 is less than 3, 3 is more than 1, 4 is the same as 2","1 is more than 3, 3 is less than 1, 1 is the same as 3, 3 is the same as 1, 4 is more than 2, 2 is less than 4, 4 is less than 2, 2 is more than 4"
